"","Genus","Species"
"Otu00001","Ruegeria","atlantica/lacuscaerulensis/pomeroyi"
"Otu00002",NA,NA
"Otu00004",NA,NA
"Otu00005","Pelagibius","litoralis"
"Otu00006",NA,NA
"Otu00007",NA,NA
"Otu00008",NA,NA
"Otu00009",NA,NA
"Otu00013",NA,NA
"Otu00016",NA,NA
"Otu00017",NA,NA
"Otu00019","Sagittula","stellata"
"Otu00020",NA,NA
"Otu00023",NA,NA
"Otu00024","Ruegeria","conchae"
"Otu00025",NA,NA
"Otu00026",NA,NA
"Otu00027",NA,NA
"Otu00028",NA,NA
"Otu00030",NA,NA
"Otu00031",NA,NA
"Otu00033",NA,NA
"Otu00036","Alteromonas","alvinellae/australica/gracilis/litorea/macleodii/marina/mediterranea/simiduii/tagae"
"Otu00037",NA,NA
"Otu00039",NA,NA
"Otu00041",NA,NA
"Otu00042",NA,NA
"Otu00043",NA,NA
"Otu00044",NA,NA
"Otu00045",NA,NA
"Otu00046",NA,NA
"Otu00048",NA,NA
"Otu00049",NA,NA
"Otu00050","Lentilitoribacter","donghaensis"
"Otu00051",NA,NA
"Otu00052",NA,NA
"Otu00053",NA,NA
"Otu00054",NA,NA
"Otu00056","Pseudoalteromonas","aestuariivivens/agarivorans/arabiensis/atlantica/carrageenovora/chazhmella/distincta/donghaensis/elyakovii/espejiana/ganghwensis/gelatinilytica/haloplanktis/hodoensis/issachenkonii/lipolytica/luteoviolacea/mariniglutinosa/nigrifaciens/paragorgicola/porphyrae/profundi/prydzensis/shioyasakiensis/telluritireducens/tetraodonis/undina/whanghaensis/xishaensis"
"Otu00057","Aquimarina","salinaria"
"Otu00060","Acinetobacter","baumannii/beijerinckii/bereziniae/calcoaceticus/courvalinii/gerneri/guillouiae/gyllenbergii/indicus/johnsonii/junii/lwoffii/modestus/parvus/plantarum/proteolyticus/vivianii"
"Otu00061",NA,NA
"Otu00062",NA,"elongatum/zhejiangensis"
"Otu00063",NA,"aestuariivivens/atlantica/marina"
"Otu00064",NA,NA
"Otu00065","Staphylococcus","argenteus/aureus/capitis/caprae/devriesei/epidermidis/equorum/haemolyticus/hominis/lugdunensis/pasteuri/petrasii/phage/saccharolyticus/schweitzeri/simiae/warneri"
"Otu00066",NA,NA
"Otu00067",NA,NA
"Otu00068",NA,NA
"Otu00070","Thalassotalea","agarivorans/euphylliae/montiporae"
"Otu00071",NA,NA
"Otu00072",NA,NA
"Otu00073",NA,NA
"Otu00074","Bacillus","altitudinis/amyloliquefaciens/firmus/halotolerans/licheniformis/mojavensis/siamensis/subtilis/tequilensis/timonensis/vallismortis/velezensis"
"Otu00075",NA,NA
"Otu00078",NA,NA
"Otu00079",NA,NA
"Otu00080",NA,NA
"Otu00081",NA,NA
"Otu00083",NA,NA
"Otu00084","Ahrensia","kielensis/marina"
"Otu00085","Shimia","isoporae/marina"
"Otu00086",NA,NA
"Otu00087",NA,NA
"Otu00089",NA,NA
"Otu00090",NA,NA
"Otu00092",NA,NA
"Otu00093",NA,NA
"Otu00094",NA,NA
"Otu00095",NA,"frisia/halophilus/neptunius/sabulilitoris"
"Otu00096",NA,NA
"Otu00097",NA,NA
"Otu00098",NA,NA
"Otu00099",NA,NA
"Otu00100","Listeria","innocua/ivanovii/marthii/monocytogenes/phage/seeligeri/welshimeri"
"Otu00101",NA,NA
"Otu00103",NA,NA
"Otu00104",NA,NA
"Otu00105",NA,NA
"Otu00106",NA,NA
"Otu00107",NA,NA
"Otu00109",NA,NA
"Otu00110",NA,"albertii/boydii/coli/dysenteriae/enterica/fergusonii/flexneri/marmotae/sonnei/vulneris"
"Otu00111",NA,NA
"Otu00114",NA,NA
"Otu00115",NA,NA
"Otu00116",NA,NA
"Otu00117",NA,NA
"Otu00118",NA,NA
"Otu00119",NA,NA
"Otu00120",NA,NA
"Otu00121","Vibrio","Parahaemolyticus/alfacsensis/alginolyticus/algoinfesta/antiquarius/atypicus/azureus/brasiliensis/campbellii/caribbeanicus/coralliilyticus/diabolicus/equitatus/europaeus/galatheae/gallicus/harveyi/hepatarius/ichthyoenteri/natriegens/neptunius/owensii/parahaemolyticus/ponticus/rotiferianus/sagamiensis/scophthalmi/sinaloensis/tapetis/tubiashii/variabilis/xuii"
"Otu00122",NA,NA
"Otu00123",NA,NA
"Otu00124",NA,NA
"Otu00125",NA,"amalonaticus/cloacae/enterica/freundii/intermedia/phage/regensburgei"
"Otu00126","Aquimarina","litoralis"
"Otu00127",NA,NA
"Otu00128",NA,NA
"Otu00130","Fangia","hongkongensis"
"Otu00131",NA,NA
"Otu00132",NA,NA
"Otu00133",NA,NA
"Otu00134","Pseudoalteromonas","ruthenica"
"Otu00135",NA,NA
"Otu00137",NA,NA
"Otu00138",NA,NA
"Otu00139",NA,NA
"Otu00141",NA,NA
"Otu00142",NA,NA
"Otu00144",NA,NA
"Otu00146",NA,NA
"Otu00147",NA,"azikeevi/canintestini/canis/dispar/durans/faecalis/faecium/hirae/lactis/mundtii/olivae/pernyi/plantarum/raffinosus/ratti/rivorum/saigonensis/thailandicus/villorum"
"Otu00148",NA,NA
"Otu00150",NA,NA
"Otu00151",NA,NA
"Otu00152",NA,NA
"Otu00153",NA,NA
"Otu00154",NA,NA
"Otu00155",NA,NA
"Otu00156",NA,NA
"Otu00158",NA,NA
"Otu00159","Psychroserpens","damuponensis"
"Otu00160",NA,NA
"Otu00161",NA,NA
"Otu00163",NA,NA
"Otu00164",NA,NA
"Otu00165","Pseudomonas","aeruginosa/denitrificans/fluorescens/mendocina/otitidis/protegens/putida/tropicalis"
"Otu00166",NA,NA
"Otu00167",NA,NA
"Otu00168",NA,NA
"Otu00169",NA,NA
"Otu00170","Marinicella","litoralis"
"Otu00171",NA,NA
"Otu00172",NA,NA
"Otu00174",NA,NA
"Otu00175",NA,NA
"Otu00176",NA,NA
"Otu00177",NA,NA
"Otu00178",NA,NA
"Otu00179",NA,NA
"Otu00180",NA,NA
"Otu00181",NA,NA
"Otu00183","Lactobacillus","delbrueckii/fermentum/ingluviei/oris/parabuchneri/plantarum"
"Otu00185",NA,NA
"Otu00186",NA,NA
"Otu00187",NA,NA
"Otu00188",NA,NA
"Otu00189",NA,"alba/denhamense/marina"
"Otu00190",NA,NA
"Otu00192",NA,NA
"Otu00193",NA,NA
"Otu00194",NA,NA
"Otu00196",NA,NA
"Otu00197","Muricauda","pacifica"
"Otu00198",NA,NA
"Otu00199","Sphingobium","amiense/limneticum/yanoikuyae"
"Otu00200",NA,NA
"Otu00201",NA,NA
"Otu00202",NA,NA
"Otu00203",NA,NA
"Otu00204","Altererythrobacter","ishigakiensis"
"Otu00205",NA,NA
"Otu00206",NA,NA
"Otu00207",NA,NA
"Otu00208",NA,NA
"Otu00209",NA,NA
"Otu00210",NA,NA
"Otu00211",NA,NA
"Otu00212",NA,NA
"Otu00213",NA,NA
"Otu00214",NA,NA
"Otu00215",NA,"aestuarianus/alginolyticus/antiquarius/atypicus/azureus/campbellii/coralliilyticus/diabolicus/fluvialis/fortis/galatheae/harveyi/hyugaensis/jasicida/mediterranei/midae/mytili/natriegens/neocaledonicus/nereis/owensii/parahaemolyticus/pelagius/qinhuangdaora/rotiferianus/sagamiensis/sonorensis/thiocycli/variabilis/vulnificus"
"Otu00216",NA,NA
"Otu00217",NA,NA
"Otu00218",NA,NA
"Otu00220",NA,NA
"Otu00223",NA,NA
"Otu00224","Marivita","byunsanensis"
"Otu00225",NA,NA
"Otu00226",NA,NA
"Otu00227",NA,NA
"Otu00228",NA,NA
"Otu00229",NA,NA
"Otu00231",NA,NA
"Otu00232",NA,NA
"Otu00233",NA,NA
"Otu00234",NA,NA
"Otu00235",NA,NA
"Otu00237",NA,NA
"Otu00238",NA,NA
"Otu00239",NA,NA
"Otu00240",NA,NA
"Otu00241",NA,NA
"Otu00242",NA,NA
"Otu00243",NA,NA
"Otu00244",NA,NA
"Otu00245",NA,NA
"Otu00246",NA,NA
"Otu00248",NA,"crassostreae/lacisalsi/lutimaris"
"Otu00249",NA,NA
"Otu00250",NA,NA
"Otu00251",NA,NA
"Otu00252",NA,NA
"Otu00253",NA,NA
"Otu00254",NA,NA
"Otu00255",NA,NA
"Otu00256","Thalassotalea","ganghwensis"
"Otu00257",NA,NA
"Otu00258",NA,NA
"Otu00260",NA,NA
"Otu00261",NA,NA
"Otu00262","Acaryochloris","marina"
"Otu00264",NA,NA
"Otu00265",NA,NA
"Otu00266",NA,NA
"Otu00268",NA,NA
"Otu00269",NA,NA
"Otu00271",NA,NA
"Otu00272",NA,NA
"Otu00273",NA,NA
"Otu00274",NA,NA
"Otu00275",NA,NA
"Otu00276",NA,NA
"Otu00277",NA,NA
"Otu00278",NA,"albidus/algarum/ascidiaceicola/halocynthiae/janthinus/meonggei/ponti"
"Otu00279","Ruegeria","lacuscaerulensis"
"Otu00281",NA,NA
"Otu00282",NA,NA
"Otu00283",NA,NA
"Otu00284",NA,NA
"Otu00285",NA,NA
"Otu00286",NA,NA
"Otu00287",NA,NA
"Otu00288",NA,NA
"Otu00289",NA,NA
"Otu00290",NA,NA
"Otu00291",NA,NA
"Otu00292",NA,"alba/atlantica/mediterraneus/phaeodactyli"
"Otu00293",NA,NA
"Otu00294",NA,NA
"Otu00295",NA,NA
"Otu00297",NA,NA
"Otu00298",NA,NA
"Otu00299",NA,NA
"Otu00300",NA,NA
"Otu00301",NA,NA
"Otu00302",NA,NA
"Otu00304",NA,NA
"Otu00305","Bacillus","marmarensis/pseudofirmus"
"Otu00306",NA,NA
"Otu00307",NA,NA
"Otu00308",NA,NA
"Otu00309",NA,NA
"Otu00310",NA,NA
"Otu00311",NA,NA
"Otu00312",NA,NA
"Otu00315",NA,NA
"Otu00316",NA,NA
"Otu00317",NA,NA
"Otu00318",NA,NA
"Otu00319","Aquimarina","amphilecti/latercula"
"Otu00320",NA,NA
"Otu00322",NA,NA
"Otu00323",NA,NA
"Otu00324",NA,NA
"Otu00325",NA,NA
"Otu00326",NA,NA
"Otu00327",NA,NA
"Otu00330","Polymorphum","gilvum"
"Otu00331",NA,NA
"Otu00332",NA,NA
"Otu00334",NA,NA
"Otu00335",NA,NA
"Otu00336","Ekhidna","lutea"
"Otu00337","Acanthopleuribacter","pedis"
"Otu00339",NA,NA
"Otu00340",NA,NA
"Otu00341",NA,NA
"Otu00342",NA,NA
"Otu00343",NA,NA
"Otu00344",NA,NA
"Otu00345",NA,NA
"Otu00346",NA,NA
"Otu00347",NA,NA
"Otu00349",NA,NA
"Otu00350",NA,NA
"Otu00351",NA,NA
"Otu00352",NA,NA
"Otu00353",NA,"algicola/aquimaris/beolgyonensis/gallaeciensis/gilvus/guttiformis/litoralis/pseudonitzschiae"
"Otu00354",NA,NA
"Otu00355",NA,NA
"Otu00356",NA,NA
"Otu00357",NA,NA
"Otu00358",NA,NA
"Otu00359",NA,NA
"Otu00360",NA,NA
"Otu00361","Photobacterium","aquae/gaetbulicola/panuliri/phosphoreum/rosenbergii/sanctipauli"
"Otu00362",NA,NA
"Otu00363",NA,"flagellatus/omphalii"
"Otu00364",NA,NA
"Otu00365",NA,NA
"Otu00366",NA,NA
"Otu00367",NA,NA
"Otu00368",NA,NA
"Otu00369",NA,NA
"Otu00370","Aureisphaera","galaxeae"
"Otu00371",NA,NA
"Otu00373",NA,NA
"Otu00374",NA,NA
"Otu00375",NA,NA
"Otu00376",NA,NA
"Otu00378",NA,NA
"Otu00379",NA,NA
"Otu00380",NA,NA
"Otu00382","Halomonas","boliviensis/campaniensis/chromatireducens/denitrificans/desiderata/huangheensis/kenyensis/nitrilicus/nitritophilus/pacifica/phoceae/qiaohouensis/saccharevitans/salifodinae/salina/urumqiensis/ventosae"
"Otu00383",NA,NA
"Otu00384",NA,NA
"Otu00385",NA,NA
"Otu00386",NA,NA
"Otu00387",NA,NA
"Otu00388",NA,NA
"Otu00389",NA,NA
"Otu00390","Vibrio","ishigakensis"
"Otu00391",NA,NA
"Otu00392",NA,NA
"Otu00393",NA,NA
"Otu00394",NA,NA
"Otu00395",NA,NA
"Otu00396",NA,NA
"Otu00397",NA,NA
"Otu00398",NA,NA
"Otu00399",NA,NA
"Otu00400",NA,NA
"Otu00402",NA,NA
"Otu00403",NA,NA
"Otu00404",NA,NA
"Otu00405",NA,NA
"Otu00406","Pseudoalteromonas","byunsanensis/citrea/elyakovii/flavipulchra/maricaloris/peptidolytica/piscicida/rubra/viridis"
"Otu00407",NA,NA
"Otu00408",NA,NA
"Otu00409",NA,NA
"Otu00411",NA,NA
"Otu00412",NA,NA
"Otu00413",NA,NA
"Otu00414",NA,NA
"Otu00415",NA,NA
"Otu00416",NA,NA
"Otu00417",NA,NA
"Otu00420",NA,NA
"Otu00422","Pseudooceanicola","nitratireducens"
"Otu00423",NA,NA
"Otu00424",NA,NA
"Otu00425",NA,NA
"Otu00426",NA,NA
"Otu00427",NA,NA
"Otu00428",NA,NA
"Otu00429",NA,NA
"Otu00430","Sphingorhabdus","marina"
"Otu00433",NA,NA
"Otu00434",NA,NA
"Otu00435",NA,NA
"Otu00437",NA,NA
"Otu00438","Algicola","sagamiensis"
"Otu00439",NA,NA
"Otu00440",NA,NA
"Otu00441",NA,NA
"Otu00442",NA,NA
"Otu00443",NA,NA
"Otu00444",NA,NA
"Otu00445",NA,NA
"Otu00446",NA,NA
"Otu00447",NA,NA
"Otu00448",NA,NA
"Otu00449",NA,NA
"Otu00450",NA,NA
"Otu00451",NA,NA
"Otu00452",NA,NA
"Otu00453",NA,NA
"Otu00454",NA,NA
"Otu00455",NA,NA
"Otu00456",NA,NA
"Otu00457",NA,NA
"Otu00458",NA,NA
"Otu00459",NA,NA
"Otu00460",NA,NA
"Otu00461",NA,NA
"Otu00462",NA,NA
"Otu00463",NA,NA
"Otu00464",NA,NA
"Otu00465",NA,NA
"Otu00466",NA,NA
"Otu00467",NA,NA
"Otu00468","Ruegeria","marina"
"Otu00470",NA,NA
"Otu00471",NA,NA
"Otu00473",NA,NA
"Otu00474",NA,NA
"Otu00475",NA,NA
"Otu00476",NA,NA
"Otu00477",NA,NA
"Otu00478",NA,NA
"Otu00479",NA,NA
"Otu00481",NA,NA
"Otu00482",NA,NA
"Otu00483",NA,NA
"Otu00484",NA,NA
"Otu00485",NA,NA
"Otu00486",NA,NA
"Otu00487",NA,NA
"Otu00488",NA,NA
"Otu00489",NA,NA
"Otu00490","Ralstonia","detusculanense/insidiosa/mannitolilytica/pickettii/solanacearum/syzygii"
"Otu00491",NA,NA
"Otu00492",NA,"caerulea/multivorans"
"Otu00493",NA,NA
"Otu00495",NA,NA
"Otu00496",NA,NA
"Otu00497",NA,NA
"Otu00498",NA,NA
"Otu00499",NA,NA
"Otu00500",NA,NA
"Otu00501",NA,NA
"Otu00502",NA,NA
"Otu00503",NA,NA
"Otu00504","Celeribacter","indicus"
"Otu00507","Halodesulfovibrio","marinisediminis/spirochaetisodalis"
"Otu00508",NA,NA
"Otu00509",NA,NA
"Otu00510",NA,NA
"Otu00511","Tenacibaculum","adriaticum/aestuarii/aiptasiae/ascidiaceicola/discolor/gallaicum/litoreum/lutimaris/mesophilum/sediminilitoris"
"Otu00512",NA,NA
"Otu00514",NA,NA
"Otu00515",NA,NA
"Otu00517",NA,NA
"Otu00518",NA,NA
"Otu00519",NA,NA
"Otu00520",NA,NA
"Otu00521",NA,NA
"Otu00522",NA,NA
"Otu00524",NA,NA
"Otu00525",NA,NA
"Otu00527",NA,NA
"Otu00528",NA,NA
"Otu00529",NA,NA
"Otu00530",NA,NA
"Otu00531",NA,NA
"Otu00532","Bermanella","marisrubri"
"Otu00533",NA,NA
"Otu00534",NA,NA
"Otu00535",NA,NA
"Otu00536",NA,NA
"Otu00537",NA,NA
"Otu00538",NA,NA
"Otu00539",NA,NA
"Otu00540",NA,NA
"Otu00541",NA,NA
"Otu00543","Roseovarius","atlanticus"
"Otu00544",NA,NA
"Otu00545",NA,NA
"Otu00546",NA,NA
"Otu00547","Fabibacter","misakiensis"
"Otu00548",NA,NA
"Otu00549",NA,NA
"Otu00550",NA,NA
"Otu00551",NA,NA
