	0-RawData	1-FilterAndTrim	2-ErrorModel	3.1-Dereplication	3.2-Denoising	4-ESV	5-MultipleSequenceAlignment	6-ChimeraRemoval	7-PreClassification	8-Clustering_99	9-TaxaFilter_99	10-MultipletonsFilter_99	11-Subsampling	12-Lulu_99
APAL257b_S322_L001	32646	25398	25398	25398 (6273 uniques)	25304 (105 uniques)	25012 (83 uniques)	23140 (75 uniques)	23083 (74 uniques)	23083 (74 uniques)	23083 (73 uniques)	2791 (65 uniques)	2791 (65 uniques)	2791 (65 uniques)	2791 (64 uniques)
APAL257c_S334_L001	61999	48542	48542	48542 (9680 uniques)	48429 (60 uniques)	48201 (55 uniques)	45881 (46 uniques)	45849 (45 uniques)	45849 (45 uniques)	45849 (43 uniques)	3813 (34 uniques)	3813 (34 uniques)	3813 (34 uniques)	3813 (34 uniques)
APAL270b_S325_L001	36715	30250	30250	30250 (5772 uniques)	30124 (54 uniques)	29988 (42 uniques)	29969 (41 uniques)	29628 (37 uniques)	29628 (37 uniques)	29628 (37 uniques)	23912 (32 uniques)	23912 (32 uniques)	23912 (32 uniques)	23912 (32 uniques)
APAL270c_S337_L001	51394	41079	41079	41079 (8843 uniques)	40940 (54 uniques)	40840 (50 uniques)	40805 (48 uniques)	40432 (43 uniques)	40432 (43 uniques)	40432 (43 uniques)	32182 (39 uniques)	32182 (39 uniques)	32182 (39 uniques)	32182 (39 uniques)
APAL288b_S320_L001	38307	30044	30044	30044 (7526 uniques)	29882 (76 uniques)	29619 (64 uniques)	28881 (58 uniques)	28513 (53 uniques)	28513 (53 uniques)	28513 (48 uniques)	21807 (44 uniques)	21805 (43 uniques)	21805 (43 uniques)	21805 (43 uniques)
APAL288c_S332_L001	38619	31107	31107	31107 (8253 uniques)	30984 (59 uniques)	30820 (53 uniques)	29825 (47 uniques)	29585 (43 uniques)	29585 (43 uniques)	29585 (39 uniques)	21826 (37 uniques)	21826 (37 uniques)	21826 (37 uniques)	21826 (37 uniques)
APAL297b_S330_L001	39164	31085	31085	31085 (8131 uniques)	30875 (101 uniques)	30463 (76 uniques)	29688 (68 uniques)	29236 (63 uniques)	29236 (63 uniques)	29236 (59 uniques)	18244 (49 uniques)	18244 (49 uniques)	18244 (49 uniques)	18244 (48 uniques)
APAL297c_S342_L001	354	269	269	269 (120 uniques)	246 (3 uniques)	246 (3 uniques)	246 (3 uniques)	246 (3 uniques)	246 (3 uniques)	246 (3 uniques)	145 (1 uniques)	145 (1 uniques)	145 (1 uniques)	145 (1 uniques)
APAL305b_S331_L001	37685	27811	27811	27811 (6764 uniques)	27662 (113 uniques)	27204 (92 uniques)	27136 (88 uniques)	26763 (81 uniques)	26763 (81 uniques)	26763 (77 uniques)	2542 (66 uniques)	2542 (66 uniques)	2542 (66 uniques)	2542 (66 uniques)
APAL305c_S343_L001	45952	34025	34025	34025 (8786 uniques)	33869 (116 uniques)	33400 (99 uniques)	33245 (95 uniques)	32953 (87 uniques)	32953 (87 uniques)	32953 (82 uniques)	4125 (70 uniques)	4125 (70 uniques)	4125 (70 uniques)	4125 (69 uniques)
APAL307b_S328_L001	40150	30982	30982	30982 (7619 uniques)	30801 (67 uniques)	30526 (52 uniques)	30088 (46 uniques)	29605 (43 uniques)	29605 (43 uniques)	29605 (43 uniques)	16976 (35 uniques)	16976 (35 uniques)	16976 (35 uniques)	16976 (35 uniques)
APAL307c_S340_L001	12407	9881	9881	9881 (2918 uniques)	9845 (18 uniques)	9828 (18 uniques)	9767 (17 uniques)	9767 (17 uniques)	9767 (17 uniques)	9767 (15 uniques)	6170 (13 uniques)	6170 (13 uniques)	6170 (13 uniques)	6170 (13 uniques)
APAL313b_S323_L001	27678	21124	21124	21124 (6874 uniques)	20978 (166 uniques)	20676 (157 uniques)	19561 (151 uniques)	19561 (151 uniques)	19561 (151 uniques)	19561 (146 uniques)	9219 (129 uniques)	9219 (129 uniques)	9219 (129 uniques)	9219 (127 uniques)
APAL313c_S335_L001	28641	21872	21872	21872 (6777 uniques)	21771 (116 uniques)	21487 (115 uniques)	20467 (102 uniques)	20467 (102 uniques)	20467 (102 uniques)	20467 (101 uniques)	7610 (88 uniques)	7610 (88 uniques)	7610 (88 uniques)	7610 (88 uniques)
APAL315b_S321_L001	38213	28827	28827	28827 (8228 uniques)	28577 (218 uniques)	27899 (189 uniques)	27497 (178 uniques)	27464 (177 uniques)	27464 (177 uniques)	27464 (175 uniques)	6617 (154 uniques)	6617 (154 uniques)	6617 (154 uniques)	6617 (153 uniques)
APAL315c_S333_L001	29557	23986	23986	23986 (6895 uniques)	23788 (185 uniques)	23390 (168 uniques)	22869 (155 uniques)	22845 (154 uniques)	22845 (154 uniques)	22845 (149 uniques)	6504 (133 uniques)	6504 (133 uniques)	6504 (133 uniques)	6504 (133 uniques)
APAL350b_S329_L001	37302	27105	27105	27105 (7204 uniques)	26961 (145 uniques)	26281 (119 uniques)	23421 (111 uniques)	23325 (107 uniques)	23325 (107 uniques)	23325 (104 uniques)	5621 (92 uniques)	5621 (92 uniques)	5621 (92 uniques)	5621 (92 uniques)
